Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
banarasi-soft-semi-katan-silk-saree-blue,Banarasi Soft Semi Katan Silk Saree Blue,"<h3>🌟 Key Features</h3>
<p>🧵 <strong>Fabric:</strong> Soft Semi Katan Silk – luxurious &amp; elegant</p>
<p>🎨 <strong>Color:</strong> Blue with exquisite all-over weaving designs</p>
<p>✨ <strong>Detailing:</strong> Delicate thik border showcasing intricate Banarasi artistry</p>
<p>🪡 <strong>Blouse Piece:</strong> Brocade blouse with shimmering zari work</p>
<p>📏 <strong>Length:</strong> Saree – 5.5 meters | Blouse Piece – 1 meter</p>
<p>🚚 <strong>Shipping:</strong> Free delivery across India within 7-10 business days</p>
<p>💳 <strong>Payment:</strong> Cash on Delivery (COD) available</p>
<p>💰 <strong>Pricing:</strong> Inclusive of all taxes (GST included)</p>
<p>🧼 <strong>Care Instructions:</strong> Dry clean only</p>

<h3>✨ Product Description</h3>
<p>Experience the timeless elegance of our Banarasi Soft Semi Katan Silk Saree in Blue. This saree boasts exquisite all-over weaving designs, showcasing the intricate artistry of Banaras. Paired with a luxurious brocade blouse adorned with shimmering zari work, this saree exudes sophistication. The delicate thik border adds a touch of refinement, making it perfect for weddings, festive celebrations, and special occasions. This collection seamlessly blends tradition with contemporary style, making it a cherished addition to any saree enthusiast's wardrobe. The vibrant Blue shade brings elegance and grace to every drape.</p>",Ijor Ethnic,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,"","Banarasi, Saree, Silk, Zari",true,Title,Default Title,,,,,,,,87SAZ125BSB,900.0,,-6,deny,manual,3199.00,3499.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Semi_Katan_Silk_Saree_Blue-1.webp?v=1771660804,1,Woman in a blue saree with silver border standing in front of a decorative background.,false,Banarasi Soft Semi Katan Silk Saree Blue | Ijor Ethnic,Elegant Blue Banarasi Soft Semi Katan Silk saree with all-over weaving & brocade blouse with zari work. Perfect for weddings. Free shipping & COD.,8248,,adult,,,,,,,,,,'2,adults,floral,silk,,female,,kg,,,active
banarasi-soft-semi-katan-silk-saree-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Semi_Katan_Silk_Saree_Blue-10.webp?v=1771660804,2,"Woman wearing a blue saree with silver patterns, standing indoors with a blurred background.",,,,,,,,,,,,,,,,,,,,,,,,,,
banarasi-soft-semi-katan-silk-saree-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Semi_Katan_Silk_Saree_Blue-11.webp?v=1771660804,3,"Woman wearing a blue saree with a white border, holding her hand up.",,,,,,,,,,,,,,,,,,,,,,,,,,
banarasi-soft-semi-katan-silk-saree-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Semi_Katan_Silk_Saree_Blue-2.webp?v=1771660804,4,Woman in a blue saree with silver border standing in front of a decorative arch.,,,,,,,,,,,,,,,,,,,,,,,,,,
banarasi-soft-semi-katan-silk-saree-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Semi_Katan_Silk_Saree_Blue-3.webp?v=1771660645,5,Woman wearing a blue saree with silver border outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,
banarasi-soft-semi-katan-silk-saree-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Semi_Katan_Silk_Saree_Blue-4.webp?v=1771660645,6,Woman in a blue saree with silver border standing in front of a decorative arch with greenery.,,,,,,,,,,,,,,,,,,,,,,,,,,
banarasi-soft-semi-katan-silk-saree-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Semi_Katan_Silk_Saree_Blue-5.webp?v=1771660644,7,Woman in a blue saree with silver border standing indoors with decorative plants.,,,,,,,,,,,,,,,,,,,,,,,,,,
banarasi-soft-semi-katan-silk-saree-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Semi_Katan_Silk_Saree_Blue-6.webp?v=1771660645,8,"Woman wearing a blue saree with intricate patterns, gold jewelry, and a blurred background.",,,,,,,,,,,,,,,,,,,,,,,,,,
banarasi-soft-semi-katan-silk-saree-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Semi_Katan_Silk_Saree_Blue-7.webp?v=1771660645,9,Woman in a blue saree with a decorative border standing in front of a decorative arch.,,,,,,,,,,,,,,,,,,,,,,,,,,
banarasi-soft-semi-katan-silk-saree-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Semi_Katan_Silk_Saree_Blue-8.webp?v=1771660645,10,"Woman wearing a blue saree with silver patterns, standing indoors.",,,,,,,,,,,,,,,,,,,,,,,,,,
